epoch,train_pinball,val_pinball,seconds
0,0.42643,0.40277,1.9
1,0.28942,0.21438,1.9
2,0.18999,0.14147,2.0
3,0.14599,0.10120,1.8
4,0.12987,0.08883,1.9
5,0.12464,0.08664,1.8
6,0.11983,0.08356,1.8
7,0.11569,0.08327,1.9
8,0.11002,0.08080,1.8
9,0.10533,0.08508,1.8
10,0.09979,0.07933,1.9
11,0.09426,0.08285,1.8
12,0.08953,0.07397,1.8
13,0.08632,0.07077,1.9
14,0.08364,0.07797,1.8
15,0.08273,0.06785,1.8
16,0.08061,0.06811,1.8
17,0.07923,0.06774,1.8
18,0.07829,0.06843,1.8
19,0.07773,0.07091,1.8
20,0.07702,0.07018,1.8
21,0.07792,0.06715,2.0
22,0.07615,0.06873,2.8
23,0.07532,0.07212,2.2
24,0.07838,0.07068,1.8
25,0.07489,0.07172,1.8
