epoch,train_pinball,val_pinball,seconds
0,0.40372,0.38243,5.0
1,0.28035,0.17228,5.5
2,0.16824,0.12087,5.5
3,0.13604,0.10000,5.6
4,0.12123,0.09085,5.7
5,0.11071,0.08573,5.3
6,0.10322,0.08314,4.9
7,0.09773,0.07979,5.2
8,0.09326,0.07652,4.9
9,0.08913,0.07686,5.1
10,0.08668,0.07311,5.3
11,0.08413,0.07489,5.6
12,0.08230,0.07163,6.2
13,0.08048,0.07062,6.4
14,0.07871,0.06785,6.1
15,0.07763,0.06706,5.5
16,0.07704,0.06711,5.0
17,0.07585,0.07651,5.2
18,0.07533,0.06532,5.0
19,0.07503,0.06659,5.2
20,0.07385,0.06920,5.0
21,0.07298,0.06658,5.1
22,0.07260,0.07307,5.1
