epoch,train_pinball,val_pinball,seconds
0,0.28683,0.21758,4.8
1,0.21366,0.17985,4.8
2,0.18075,0.14865,4.8
3,0.15127,0.11019,4.4
4,0.12676,0.09656,4.3
5,0.11157,0.09227,4.7
6,0.10264,0.08952,4.7
7,0.09541,0.08889,4.7
8,0.09253,0.08765,4.9
9,0.08954,0.07893,4.8
10,0.08609,0.07566,5.7
11,0.08288,0.07736,4.6
12,0.08159,0.07508,4.7
13,0.07981,0.07178,4.6
14,0.07858,0.07153,4.8
15,0.07761,0.07172,4.7
16,0.07708,0.07374,5.1
17,0.07604,0.06953,4.9
18,0.07504,0.06990,4.7
19,0.07411,0.07355,5.2
20,0.07460,0.07145,5.0
21,0.07356,0.06994,4.7
22,0.07314,0.06829,4.8
23,0.07160,0.07074,4.6
24,0.07226,0.07944,4.7
25,0.07266,0.06810,4.7
26,0.07217,0.06948,4.6
27,0.07116,0.06962,4.7
28,0.07065,0.07144,4.6
29,0.06988,0.06744,4.5
30,0.06928,0.06885,4.6
31,0.06992,0.06713,4.8
32,0.06862,0.06999,4.5
33,0.06899,0.06695,4.6
34,0.06787,0.06657,4.6
35,0.06863,0.06915,4.5
36,0.06809,0.06895,4.6
37,0.06838,0.06748,4.5
38,0.06699,0.06587,4.6
39,0.06652,0.06818,4.8
40,0.06770,0.06656,4.8
41,0.06687,0.07106,4.8
42,0.06659,0.06596,4.7
43,0.06642,0.06924,5.3
44,0.06742,0.06642,4.5
45,0.06560,0.06947,5.2
46,0.06543,0.06771,5.0
