epoch,train_pinball,val_pinball,seconds
0,0.29691,0.23114,13.1
1,0.21946,0.17338,12.5
2,0.18311,0.14248,12.5
3,0.15804,0.12029,12.1
4,0.13983,0.10811,12.0
5,0.12623,0.09842,11.8
6,0.11638,0.09204,11.8
7,0.10867,0.08810,12.0
8,0.10236,0.08543,12.0
9,0.09784,0.08249,13.1
10,0.09359,0.07938,12.5
11,0.09082,0.07618,12.1
12,0.08843,0.08051,12.2
13,0.08601,0.07339,12.1
14,0.08391,0.07289,12.1
15,0.08282,0.07473,12.6
16,0.08126,0.07217,11.9
17,0.08015,0.06947,11.8
18,0.07900,0.06988,11.8
19,0.07803,0.06727,11.8
20,0.07713,0.06989,11.9
21,0.07630,0.07065,11.8
22,0.07568,0.06700,11.8
23,0.07517,0.06814,11.7
24,0.07475,0.06853,11.8
25,0.07393,0.06636,11.7
26,0.07319,0.06895,11.9
27,0.07298,0.06634,12.4
28,0.07235,0.06621,13.2
29,0.07201,0.06544,12.1
30,0.07143,0.06612,12.2
31,0.07107,0.06404,12.3
32,0.07073,0.06458,13.7
33,0.07023,0.06387,12.4
34,0.06968,0.06430,12.0
35,0.06927,0.06426,12.0
36,0.06888,0.06334,12.7
37,0.06901,0.06548,13.6
38,0.06866,0.06445,12.8
39,0.06829,0.06325,12.6
40,0.06783,0.06325,13.5
41,0.06751,0.06493,12.9
42,0.06741,0.06551,13.4
43,0.06709,0.06374,13.1
44,0.06681,0.06359,13.1
45,0.06652,0.06362,13.8
46,0.06636,0.06334,13.2
47,0.06606,0.06531,14.1
48,0.06592,0.06342,13.1
