epoch,train_pinball,val_pinball,seconds
0,0.35661,0.26129,0.8
1,0.18550,0.13465,0.8
2,0.13402,0.11913,0.8
3,0.11118,0.09492,0.8
4,0.10009,0.11027,0.8
5,0.09598,0.09196,0.8
6,0.09188,0.09972,0.8
7,0.08916,0.08929,0.8
8,0.08589,0.08829,0.8
9,0.08417,0.08827,0.8
10,0.08210,0.09574,0.8
11,0.08123,0.08353,0.8
12,0.07933,0.07969,0.8
13,0.07875,0.07949,0.8
14,0.07863,0.07976,0.8
15,0.07740,0.07809,0.8
16,0.07508,0.07590,0.8
17,0.07447,0.07677,0.8
18,0.07554,0.07781,0.8
19,0.07445,0.07286,0.8
20,0.07203,0.07486,0.8
21,0.07141,0.07580,0.8
22,0.07182,0.08136,0.8
23,0.07272,0.07316,0.8
