step,return,cost,co2,peak,soc_dev,projection,tie_viol_steps
96,-51.705839,3385.7841262664765,17.23262160908605,2.311900207214723,0.35,21.887436997145414,0
192,-60.025398,4227.11612231394,18.448316983648674,2.803539306004037,0.0384086780250073,21.644510820806033,0
288,-61.111162,4293.844813207276,18.34872205908477,2.3975510515102783,0.21923694332179272,27.81324204504489,0
384,-61.926007,4360.526933181728,18.575271660032477,2.332437239568021,0.22561660973649278,25.51933406397701,0
480,-79.191198,5761.711378691232,21.112828585501727,2.9338213564399,0.35,17.1676759006083,0
576,-118.966952,9195.799862800503,26.367134347754984,4.2902787187609785,0.3249933565623666,25.30159622907639,11
672,-50.843181,3554.249121518027,15.356044680713678,1.2658536114428913,0.35,25.008273193240164,0
768,-62.030551,4477.109560924449,16.675809688890883,2.3075563839747026,0.322250224993025,31.58896318033337,0
864,-63.275298,4572.64168391111,16.796099486741507,2.8377736085071676,0.25484551426611457,25.36446917325259,0
960,-50.118262,3364.1249672163704,15.781761415014072,2.3419642201665427,0.30192780606448655,22.420289620459087,0
1056,-69.725306,5058.197701767048,19.75369245556565,2.5139623683206436,0.1652824673899691,16.85584823355079,0
1152,-66.427218,4701.921659719561,18.74802305700907,2.6595826818474877,0.35,29.32049337610603,0
1248,-77.744023,5702.664568442985,20.683150843531656,2.4208567384930384,0.35,23.23778765797616,0
1344,-36.90955,2159.61717534077,14.717649779137737,3.1890081090959344,0.07004996431305155,20.88674669265747,1
1440,-69.192334,5031.322959912866,18.230728667691327,2.544521907257473,0.35,28.545694680362946,0
1536,-63.624787,4591.116094796235,18.16588913395207,2.459464347278447,0.14428999181836855,22.322785498759096,0
1632,-60.464957,4349.018294743326,16.21351573740775,2.284196979248921,0.34395288787782197,26.627780551314352,0
1728,-57.484604,3984.917817155408,18.161090461936986,1.8549735069794075,0.2503159175381847,20.769960853457455,0
1824,-56.897822,3993.774287413931,16.794000250837005,1.7748788587766675,0.35,32.448508622050284,0
1920,-73.457787,5468.208260486493,18.645310021813835,2.7841664682378355,0.21505805026543778,22.050870675742633,0
2016,-83.250278,6204.864192858504,20.96548691689847,2.679246144632428,0.35,26.37471650317311,0
2112,-53.434349,3688.590129866788,17.53672941033092,2.248106492204672,0.05419161819705853,23.496299400925633,0
2208,-78.20832,5917.115077605409,18.520354242052623,3.0222666691041877,0.23972392874328735,15.762821429967882,1
2304,-40.003248,2658.699342543823,13.918716429059083,1.9448410247304457,0.06728816242202318,21.30290311276913,0
2400,-77.021439,5672.0432117707505,20.123563380959506,2.8072983797528215,0.27897157911211257,18.960989650944846,0
2496,-41.250826,2747.997006159368,13.420564696656658,2.3583106260025914,0.13521880416297583,19.76778260686556,0
2592,-57.38469,4144.349455550817,15.260208714362363,1.9472866958957102,0.35714842610453323,19.169231967590857,0
2688,-99.938084,7765.812085895006,24.071989991353767,2.9921230127173666,0.006049644525505715,17.893062874674794,0
2784,-52.218134,3556.9144735604946,16.07533910350204,2.5336808541270326,0.2510075245640782,20.13254678249359,0
2880,-64.770944,4566.948907499446,18.78088158618848,2.7357504681718257,0.26819978081866314,23.86390129458211,0
2976,-65.817277,4739.636548265618,18.807801145819106,2.624044211968528,0.1501251900274505,27.181371605643946,0
3072,-60.764035,4326.017300874321,17.167068085773337,2.6013730638674364,0.23376686741647001,18.569668129086494,0
3168,-91.761668,6867.028053764445,22.38132574439194,3.877616654259279,0.2617420545926217,24.674495149649406,10
3264,-54.09195,3673.088134401039,16.370622974794518,2.5132447496004753,0.3502650176812161,22.658406916260716,0
3360,-64.543331,4669.410909955662,18.124534130734276,2.202478340482145,0.22942315894914322,25.803222821978988,0
3456,-52.025042,3723.7725878311935,15.808030257680429,1.9899438145820043,0.03018953404144259,21.847007896249643,0
3552,-61.073285,4401.1336412129185,16.901592166644917,2.3881110384483404,0.23051270104356508,27.4742572888703,0
3648,-50.863475,3429.6945526148074,15.08645437035386,2.74736577658374,0.35,22.15009257510304,0
3744,-47.9344,3227.5988193503545,16.262970111140657,2.464859907013012,0.03663517944514777,23.805538038773218,0
3840,-75.790355,5534.816105169731,19.986781722328363,3.191632238846929,0.252227278014547,15.310022045820952,3
3936,-47.56626,3171.2211463587396,15.040147012871342,2.0719310827405852,0.35,21.519862664192924,0
