epoch,train_pinball,val_pinball,seconds
0,0.16806,0.19910,7.8
1,0.09820,0.17339,7.8
2,0.08193,0.14088,7.7
3,0.07435,0.14159,7.8
4,0.07014,0.14328,7.7
5,0.06831,0.13756,7.9
6,0.06791,0.14009,8.2
7,0.06643,0.12920,8.3
8,0.06575,0.13527,8.2
9,0.06548,0.13573,7.9
10,0.06617,0.13117,9.2
11,0.06519,0.13500,8.6
12,0.06515,0.13227,8.5
13,0.06461,0.12507,9.4
14,0.06425,0.13527,9.7
15,0.06458,0.13687,8.6
16,0.06453,0.13318,9.3
17,0.06474,0.13541,8.9
18,0.06428,0.13009,9.3
19,0.06404,0.12662,8.6
20,0.06458,0.13073,8.7
21,0.06457,0.12832,9.0
