epoch,train_pinball,val_pinball,seconds
0,0.12165,0.13526,13.2
1,0.06951,0.14506,13.0
2,0.06617,0.13075,13.8
3,0.06603,0.13017,12.7
4,0.06498,0.12986,13.0
5,0.06502,0.12891,13.2
6,0.06457,0.13297,13.3
7,0.06505,0.13027,13.1
8,0.06444,0.13658,12.8
9,0.06423,0.13090,12.2
10,0.06397,0.12843,12.4
11,0.06417,0.13050,12.4
12,0.06412,0.13560,12.7
13,0.06375,0.12399,12.0
14,0.06373,0.12604,12.5
15,0.06357,0.12906,12.0
16,0.06358,0.13580,12.1
17,0.06353,0.12731,12.2
18,0.06319,0.13010,11.8
19,0.06337,0.12661,12.1
20,0.06313,0.12583,11.8
21,0.06310,0.12636,12.0
