epoch,train_pinball,val_pinball,seconds
0,0.33362,0.22865,1.9
1,0.26186,0.21816,1.8
2,0.23959,0.19617,1.8
3,0.21154,0.18999,1.7
4,0.20641,0.18259,1.9
5,0.20239,0.18236,1.9
6,0.19686,0.17694,2.0
7,0.19252,0.17777,1.9
8,0.19074,0.17469,1.8
9,0.18725,0.17393,2.2
10,0.18643,0.16932,1.9
11,0.18362,0.17272,1.9
12,0.17842,0.17089,1.8
13,0.17954,0.16761,1.9
14,0.17627,0.16867,1.9
15,0.17519,0.16334,1.9
16,0.17453,0.16312,2.0
17,0.17455,0.16305,2.0
18,0.17221,0.16051,2.0
19,0.17367,0.16074,2.0
20,0.17217,0.16247,2.0
21,0.17194,0.15969,2.2
22,0.17187,0.16052,2.1
23,0.17167,0.16033,2.1
24,0.17120,0.16052,2.1
25,0.17021,0.15905,2.0
26,0.17241,0.15899,2.2
27,0.16999,0.16878,2.2
28,0.17483,0.16055,2.1
29,0.17002,0.16040,2.4
30,0.17014,0.15995,2.2
