epoch,train_pinball,val_pinball,seconds
0,0.31605,0.21217,4.5
1,0.22160,0.18875,4.5
2,0.20539,0.18394,4.5
3,0.19810,0.17728,4.5
4,0.19365,0.17689,4.5
5,0.18964,0.17449,4.5
6,0.18651,0.16987,4.5
7,0.18147,0.16608,4.5
8,0.17771,0.16297,4.5
9,0.17678,0.16255,4.5
10,0.17537,0.16234,4.5
11,0.17315,0.16048,4.5
12,0.17219,0.16348,4.5
13,0.17208,0.16036,4.5
14,0.17101,0.15879,4.5
15,0.16938,0.15824,4.5
16,0.16886,0.15721,4.5
17,0.16779,0.15842,4.6
18,0.16777,0.15843,4.7
19,0.16715,0.15666,4.5
20,0.16687,0.15809,4.8
21,0.16659,0.15696,4.5
22,0.16640,0.15552,4.5
23,0.16661,0.15754,4.6
24,0.16605,0.15820,4.5
25,0.16577,0.15647,4.5
26,0.16564,0.15619,4.5
