epoch,train_pinball,val_pinball,seconds
0,0.34798,0.22911,2.8
1,0.25873,0.20595,2.6
2,0.21196,0.19214,2.8
3,0.19709,0.18770,2.8
4,0.19447,0.18867,2.8
5,0.19033,0.17658,2.8
6,0.18440,0.17232,2.8
7,0.18336,0.17235,2.7
8,0.18247,0.17983,2.8
9,0.18322,0.17436,2.9
10,0.17926,0.17929,2.8
11,0.18268,0.17674,2.9
12,0.18320,0.16850,3.0
13,0.17594,0.16615,2.7
14,0.17341,0.16391,3.3
15,0.17427,0.16708,3.0
16,0.17348,0.16452,2.7
17,0.17418,0.16545,3.0
18,0.17407,0.16678,2.8
19,0.17421,0.16461,2.9
20,0.17304,0.17051,2.8
21,0.17240,0.16736,3.0
22,0.17195,0.17015,2.8
