epoch,train_pinball,val_pinball,seconds
0,0.38074,0.21770,11.4
1,0.23578,0.18993,11.1
2,0.21173,0.18306,11.3
3,0.20051,0.18038,11.2
4,0.19351,0.17790,11.7
5,0.18918,0.17379,11.1
6,0.18593,0.17055,11.1
7,0.18286,0.16958,11.2
8,0.17982,0.17024,11.0
9,0.17795,0.17118,11.0
10,0.17691,0.16994,10.9
11,0.17606,0.16507,10.8
12,0.17405,0.16820,10.8
13,0.17333,0.16410,10.7
14,0.17320,0.16361,10.7
15,0.17149,0.16480,10.7
16,0.17064,0.16381,11.1
17,0.17038,0.16352,11.9
18,0.16986,0.16483,12.3
19,0.16922,0.16473,11.2
20,0.16846,0.16526,11.1
21,0.16815,0.16547,10.9
22,0.16758,0.16523,11.3
23,0.16750,0.16339,11.2
24,0.16700,0.16305,11.1
25,0.16681,0.16461,11.0
26,0.16542,0.16567,11.1
27,0.16536,0.16359,11.5
28,0.16501,0.16797,11.8
29,0.16491,0.16332,11.1
30,0.16426,0.16351,11.8
31,0.16404,0.16650,11.2
32,0.16369,0.16446,11.2
