epoch,train_pinball,val_pinball,seconds
0,0.24502,0.18652,4.5
1,0.20158,0.18493,4.5
2,0.18679,0.16710,4.5
3,0.17753,0.16457,4.5
4,0.17440,0.16459,4.5
5,0.17238,0.16302,4.4
6,0.17070,0.16031,4.4
7,0.17002,0.16058,4.5
8,0.16919,0.15665,4.5
9,0.16785,0.15945,4.5
10,0.17092,0.15851,4.5
11,0.16691,0.15713,4.5
12,0.16621,0.15541,4.5
13,0.16583,0.16151,4.5
14,0.16534,0.15522,4.5
15,0.16490,0.15424,4.5
16,0.16475,0.15755,4.5
17,0.16455,0.15931,4.5
18,0.16446,0.15610,4.5
19,0.16421,0.15648,4.5
